level,code,task_name,planned_dur,actual_start,actual_end,weight_pct,completion_pct,total_float,project_code,weight_norm
8,                                E6030,接地安装,14,2021-10-10,2021-10-23,23.73,100.0,56,N791,0.0005273681396305489
8,                                E6031,仪表安装,25,2021-10-03,2021-10-27,42.37,100.0,76,N791,0.0009416177023239089
8,                                E6032,非标箱和照明箱安装,20,2021-10-03,2021-10-22,33.9,100.0,81,N791,0.0007533830566150699
8,                                E6040,通电,3,2020-12-01,2021-12-01,100.0,100.0,-102,N791,0.002222368898569528
8,                                C3660,图纸到场,0,2021-07-01,2021-07-01,0.0,100.0,0,N791,0.0
9,                                    C3670,土方开挖,4,2021-06-20,2021-06-22,12.5,100.0,107,N791,0.000277796112321191
9,                                    C3680,柱基础施工,5,2021-06-23,2021-06-24,15.63,100.0,107,N791,0.00034735625884641723
9,                                    C3690,地梁,7,2021-06-22,2021-07-02,21.88,100.0,107,N791,0.0004862543150070127
9,                                    C3700,电缆沟及设备基础,8,2021-07-02,2021-07-08,25.0,100.0,102,N791,0.000555592224642382
9,                                    C3710,电缆回填及室内地面浇筑,8,2021-07-17,2021-08-09,24.99,100.0,93,N791,0.000555369987752525
9,                                    C3720,第一层,12,2021-07-13,2021-07-18,30.77,100.0,93,N791,0.0006838229100898437
9,                                    C3730,第二层,12,2021-07-20,2021-08-10,30.77,100.0,101,N791,0.0006838229100898437
9,                                    C3740,墙体砌筑,15,2021-08-29,2021-09-04,38.46,100.0,99,N791,0.0008547230783898405
9,                                    C3750,电气室交安,1,2021-12-05,2021-12-05,100.0,100.0,37,N791,0.002222368898569528
9,                                    C3760,外粉,7,2021-09-19,2021-09-25,33.33,100.0,108,N791,0.0007407155538932236
9,                                    C3770,内粉,7,2021-09-19,2021-09-23,33.33,100.0,100,N791,0.0007407155538932236
9,                                    C3780,门窗,3,2021-09-26,2021-09-26,14.29,100.0,105,N791,0.00031757651560558554
9,                                    C3790,地砖,4,2021-11-28,2021-12-01,19.05,100.0,37,N791,0.0004233612751774951
8,                                E7010,中压柜安装,15,2021-08-29,2021-09-18,34.88,100.0,100,N791,0.0007751622718210514
8,                                E7020,低压柜安装,20,2021-10-06,2021-10-25,46.51,100.0,78,N791,0.0010336237747246874
8,                                E7030,DCS柜安装,7,2021-10-10,2021-10-16,16.28,100.0,87,N791,0.00036180165668711915
8,                                E7100,变压器安装,1,2021-10-13,2021-10-13,2.33,100.0,90,N791,5.178119533667e-05
8,                                E7040,电缆敷设,60,2022-01-05,2022-01-29,50.0,100.0,0,N791,0.001111184449284764
8,                                E7050,接线,60,2022-01-10,2022-03-19,50.0,100.0,-129,N791,0.001111184449284764
8,                                E7060,接地安装,15,2021-10-06,2021-10-23,17.65,100.0,0,N791,0.00039224811059752164
8,                                E7070,仪表安装,35,2021-11-28,2022-01-01,41.18,100.0,0,N791,0.0009151715124309316
8,                                E7080,非标箱和照明箱安装,35,2021-11-28,2022-01-01,41.17,100.0,0,N791,0.0009149492755410746
8,                                E7090,通电,3,2022-02-20,2022-02-20,100.0,100.0,-154,N791,0.002222368898569528
8,                                C3530,图纸到场,0,2021-05-09,2021-05-09,0.0,100.0,0,N791,0.0
9,                                    C3540,土方开挖,3,2021-05-03,2021-05-03,10.0,100.0,173,N791,0.00022223688985695278
9,                                    C3550,柱基础施工,5,2021-05-05,2021-05-05,16.67,100.0,173,N791,0.0003704688953915403
9,                                    C3560,地梁,7,2021-05-07,2021-05-07,23.33,100.0,173,N791,0.0005184786640362708
9,                                    C3570,电缆沟及设备基础,8,2021-05-09,2021-05-17,26.67,100.0,181,N791,0.0005927057852484931
9,                                    C3580,电缆回填及室内地面浇筑,7,2021-05-20,2021-05-23,23.33,100.0,181,N791,0.0005184786640362708
9,                                    C3590,第一层,12,2021-05-24,2021-05-27,54.55,100.0,181,N791,0.0012123022341696773
9,                                    C3600,一层墙体砌筑,10,2021-06-13,2021-06-23,45.45,100.0,186,N791,0.0010100666643998505
9,                                    C3610,电气室交安,1,2021-07-17,2021-07-17,100.0,100.0,183,N791,0.002222368898569528
