project_code,week_start,week_end,week_num,month,n_days,rain_days,extreme_days,avg_temp,avg_workers,max_workers,sub_count,avg_excavator,avg_crane,avg_loader,avg_mobile_crane,total_equip,avg_items_per_day,total_items_week,cat_土建,cat_钢结构,cat_设备安装,cat_装修,sub_SCR脱硝,sub_中控电气,sub_包装装车,sub_厂区道路,sub_压缩空气,sub_原料粉磨,sub_原料配料,sub_循环水系统,sub_水泥储存,sub_水泥汽车散装,sub_水泥粉磨,sub_水泥配料,sub_烧成窑中,sub_烧成窑头,sub_烧成窑尾,sub_煤粉制备,sub_熟料库,sub_脱硫石膏,sub_转运站,sub_辅料堆场,sub_diversity,new_sub_areas,sub_entropy,cum_sub_areas,weekly_progress,cumulative_progress
P001,2025-04-07,2025-04-13,1,4,2,0,0,6.0,143.5,146,0.0,4.0,0.0,1.0,5.0,10.0,6.5,13,10,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,3,6,5,1.557,5,,
P001,2025-04-14,2025-04-20,2,4,7,1,0,8.9,157.6,164,0.0,5.29,0.0,3.0,5.0,13.29,8.1,57,55,0,11,0,0,2,1,8,0,0,5,0,2,0,0,4,4,0,8,1,4,6,0,15,13,7,2.226,12,,
P001,2025-04-21,2025-04-27,3,4,7,0,0,7.2,206.0,211,0.0,8.0,0.0,4.0,5.0,17.0,8.0,56,52,4,7,2,0,6,1,10,0,0,7,0,7,0,0,7,1,0,4,0,7,10,0,14,12,0,2.226,12,,
P001,2025-04-28,2025-05-04,4,4,7,0,0,9.9,274.7,280,0.0,8.0,0.0,4.0,5.0,17.0,8.4,59,49,4,22,1,0,0,3,11,0,0,8,0,3,0,0,7,4,1,12,0,7,7,0,14,12,1,2.23,13,,
P001,2025-05-05,2025-05-11,5,5,7,0,0,9.3,328.9,396,0.0,8.0,0.0,4.0,5.0,17.0,7.6,53,47,6,19,0,0,2,1,7,0,0,6,0,4,0,3,2,3,3,11,3,7,6,0,12,15,1,2.442,14,,
P001,2025-05-12,2025-05-18,6,5,7,0,0,13.7,398.0,403,0.0,7.71,1.0,3.86,4.86,17.43,8.6,60,45,12,18,6,0,0,5,6,0,0,13,0,7,0,6,6,1,0,13,1,7,6,0,13,13,0,2.308,14,,
P001,2025-05-19,2025-05-25,7,5,7,2,0,11.9,432.4,449,0.0,6.0,7.0,3.0,4.0,20.0,9.7,68,50,16,21,1,0,0,5,5,0,0,10,0,7,0,12,6,6,0,13,1,7,6,0,13,13,0,2.367,14,,
P001,2025-05-26,2025-06-01,8,5,7,0,0,14.5,453.9,476,0.0,6.0,7.86,3.0,4.0,20.86,13.7,96,67,32,25,3,2,0,6,3,0,3,14,0,7,0,9,7,12,3,10,7,7,7,0,25,16,2,2.508,16,,
P001,2025-06-02,2025-06-08,9,6,7,0,0,16.4,469.0,476,0.0,6.0,8.0,2.14,2.57,18.71,14.1,99,76,38,35,3,0,0,2,7,0,7,14,0,7,0,13,7,13,1,6,7,7,7,0,28,15,0,2.42,16,,
P001,2025-06-09,2025-06-15,10,6,7,1,0,16.1,515.3,536,0.0,6.86,8.0,3.71,4.0,22.57,14.1,99,70,26,54,3,0,0,0,7,0,7,14,0,7,0,9,7,19,9,7,5,7,7,0,22,14,0,2.452,16,,
P001,2025-06-16,2025-06-22,11,6,7,1,1,15.7,539.0,557,0.0,7.0,8.14,4.0,4.0,23.14,12.0,84,46,20,31,2,0,0,0,0,0,11,8,0,7,0,7,1,21,11,9,3,7,1,0,9,13,0,2.269,16,,
P001,2025-06-23,2025-06-29,12,6,7,2,0,16.9,570.9,588,0.0,7.0,9.86,4.0,4.86,25.71,13.7,96,77,39,65,0,0,0,2,0,0,7,8,0,7,0,7,1,19,14,14,8,7,1,0,10,14,0,2.349,16,,
P001,2025-06-30,2025-07-06,13,6,7,4,0,15.9,633.3,659,0.0,7.0,10.0,4.0,5.0,26.0,13.3,93,70,38,45,0,0,0,3,0,0,13,17,0,7,0,7,4,11,14,14,1,5,4,0,9,14,0,2.386,16,,
P001,2025-07-07,2025-07-13,14,7,7,3,0,18.6,673.1,736,0.0,7.0,10.0,4.0,5.0,26.0,14.6,102,75,32,47,3,0,0,6,0,0,15,17,0,7,0,10,8,5,13,12,7,7,1,0,18,14,0,2.429,16,,
