目标,CV_MAE,基线MAE,改善
日均施工人员,255.23,401.16,36.4%
最大施工人员,236.87,408.14,42.0%
挖机数量,1.81,1.47,-22.8%
汽车吊数量,6.03,3.46,-74.2%
机械设备总数,9.02,6.33,-42.6%
每日施工条目数,9.39,8.63,-8.8%
每周施工条目数,69.58,58.93,-18.1%
土建活动频次,39.65,33.15,-19.6%
钢结构活动频次,18.38,24.69,25.5%
设备安装活动频次,41.78,32.8,-27.4%
装修活动频次,5.08,4.35,-16.8%
降雨天数,1.5,1.19,-26.3%
