目标,CV_MAE,基线MAE,改善
日均施工人员,318.45,401.16,20.6%
最大施工人员,279.34,408.14,31.6%
挖机数量,1.65,1.47,-12.5%
汽车吊数量,6.41,3.46,-85.1%
机械设备总数,8.79,6.33,-38.9%
每日施工条目数,7.96,8.63,7.8%
每周施工条目数,54.09,58.93,8.2%
土建活动频次,36.8,33.15,-11.0%
钢结构活动频次,22.78,24.69,7.7%
设备安装活动频次,31.36,32.8,4.4%
装修活动频次,4.06,4.35,6.7%
降雨天数,1.39,1.19,-16.9%
