目标,CV_MAE,基线MAE,改善
日均施工人员,263.99,410.71,35.7%
最大施工人员,255.07,418.88,39.1%
挖机数量,1.77,1.44,-22.8%
汽车吊数量,5.87,3.48,-68.7%
装载机数量,0.96,0.99,3.1%
塔吊数量,1.73,3.59,51.7%
机械设备总数,7.87,6.48,-21.4%
每日施工条目数,14.23,8.54,-66.7%
每周施工条目数,93.19,57.93,-60.9%
土建活动频次,40.65,24.28,-67.4%
钢结构活动频次,20.96,17.61,-19.0%
设备安装活动频次,35.1,26.48,-32.6%
装修活动频次,2.94,3.37,12.7%
降雨天数,1.37,1.17,-16.5%
